date,series,key,value
2026-09-10,freelancer_bids_by_category,javascript.p90_bids,284
2026-09-10,freelancer_bids_by_category,javascript.n_usd_fixed,39
2026-09-10,freelancer_bids_by_category,javascript.n_under_50usd,6
2026-09-10,freelancer_bids_by_category,javascript.share_with_budget_under_50usd,0.1538
2026-09-10,freelancer_bids_by_category,data-entry.status,ok
2026-09-10,freelancer_bids_by_category,data-entry.n_projects,50
2026-09-10,freelancer_bids_by_category,data-entry.median_bids,10
2026-09-10,freelancer_bids_by_category,data-entry.mean_bids,23.86
2026-09-10,freelancer_bids_by_category,data-entry.p90_bids,61
2026-09-10,freelancer_bids_by_category,data-entry.n_usd_fixed,35
2026-09-10,freelancer_bids_by_category,data-entry.n_under_50usd,11
2026-09-10,freelancer_bids_by_category,data-entry.share_with_budget_under_50usd,0.3143
2026-09-10,freelancer_bids_by_category,wordpress.status,ok
2026-09-10,freelancer_bids_by_category,wordpress.n_projects,50
2026-09-10,freelancer_bids_by_category,wordpress.median_bids,156
2026-09-10,freelancer_bids_by_category,wordpress.mean_bids,196.73
2026-09-10,freelancer_bids_by_category,wordpress.p90_bids,390
2026-09-10,freelancer_bids_by_category,wordpress.n_usd_fixed,41
2026-09-10,freelancer_bids_by_category,wordpress.n_under_50usd,10
2026-09-10,freelancer_bids_by_category,wordpress.share_with_budget_under_50usd,0.2439
2026-09-10,freelancer_bids_by_category,web-scraping.status,ok
2026-09-10,freelancer_bids_by_category,web-scraping.n_projects,50
2026-09-10,freelancer_bids_by_category,web-scraping.median_bids,55
2026-09-10,freelancer_bids_by_category,web-scraping.mean_bids,75.47
2026-09-10,freelancer_bids_by_category,web-scraping.p90_bids,180
2026-09-10,freelancer_bids_by_category,web-scraping.n_usd_fixed,41
2026-09-10,freelancer_bids_by_category,web-scraping.n_under_50usd,9
2026-09-10,freelancer_bids_by_category,web-scraping.share_with_budget_under_50usd,0.2195
2026-09-10,freelancer_bids_by_category,graphic-design.status,ok
2026-09-10,freelancer_bids_by_category,graphic-design.n_projects,50
2026-09-10,freelancer_bids_by_category,graphic-design.median_bids,66.5
2026-09-10,freelancer_bids_by_category,graphic-design.mean_bids,79.78
2026-09-10,freelancer_bids_by_category,graphic-design.p90_bids,160
2026-09-10,freelancer_bids_by_category,graphic-design.n_usd_fixed,38
2026-09-10,freelancer_bids_by_category,graphic-design.n_under_50usd,14
2026-09-10,freelancer_bids_by_category,graphic-design.share_with_budget_under_50usd,0.3684
2026-09-10,freelancer_bids_by_category,copywriting.status,ok
2026-09-10,freelancer_bids_by_category,copywriting.n_projects,50
2026-09-10,freelancer_bids_by_category,copywriting.median_bids,36
2026-09-10,freelancer_bids_by_category,copywriting.mean_bids,44.91
2026-09-10,freelancer_bids_by_category,copywriting.p90_bids,90
2026-09-10,freelancer_bids_by_category,copywriting.n_usd_fixed,28
2026-09-10,freelancer_bids_by_category,copywriting.n_under_50usd,10
2026-09-10,freelancer_bids_by_category,copywriting.share_with_budget_under_50usd,0.3571
2026-09-10,freelancer_bids_by_category,video-editing.status,ok
2026-09-10,freelancer_bids_by_category,video-editing.n_projects,50
2026-09-10,freelancer_bids_by_category,video-editing.median_bids,17.5
2026-09-10,freelancer_bids_by_category,video-editing.mean_bids,25.06
2026-09-10,freelancer_bids_by_category,video-editing.p90_bids,53
2026-09-10,freelancer_bids_by_category,video-editing.n_usd_fixed,42
2026-09-10,freelancer_bids_by_category,video-editing.n_under_50usd,20
2026-09-10,freelancer_bids_by_category,video-editing.share_with_budget_under_50usd,0.4762
2026-09-10,freelancer_bids_by_category,all.n_projects,400
2026-09-10,freelancer_bids_by_category,all.median_bids,52
2026-09-10,freelancer_bids_by_category,all.mean_bids,83.23
2026-09-10,freelancer_bids_by_category,all.p90_bids,207
2026-09-10,exit_listing_ai_share,status,ok
2026-09-10,exit_listing_ai_share,microns.status,ok
2026-09-10,exit_listing_ai_share,microns.n_listings,9
2026-09-10,exit_listing_ai_share,microns.n_ai,5
2026-09-10,exit_listing_ai_share,microns.share_ai,0.5556
2026-09-10,exit_listing_ai_share,indiemaker.status,ok
2026-09-10,exit_listing_ai_share,indiemaker.n_listings,12
2026-09-10,exit_listing_ai_share,indiemaker.n_ai,8
2026-09-10,exit_listing_ai_share,indiemaker.share_ai,0.6667
2026-09-10,exit_listing_ai_share,buymicrostartups.status,ok
2026-09-10,exit_listing_ai_share,buymicrostartups.n_listings,4
2026-09-10,exit_listing_ai_share,buymicrostartups.n_ai,1
2026-09-10,exit_listing_ai_share,buymicrostartups.share_ai,0.25
2026-09-10,exit_listing_ai_share,acquirebase.status,ok
2026-09-10,exit_listing_ai_share,acquirebase.n_listings,18
2026-09-10,exit_listing_ai_share,acquirebase.n_ai,10
2026-09-10,exit_listing_ai_share,acquirebase.share_ai,0.5556
2026-09-10,exit_listing_ai_share,all.n_sites_ok,4
2026-09-10,exit_listing_ai_share,all.n_listings,43
2026-09-10,exit_listing_ai_share,all.n_ai,24
2026-09-10,exit_listing_ai_share,all.share_ai,0.5581
2026-09-10,github_bounty_synthetic_share,status,ok
2026-09-10,github_bounty_synthetic_share,total_count_reported,4360
2026-09-10,github_bounty_synthetic_share,n_issues,100
2026-09-10,github_bounty_synthetic_share,n_distinct_repos,9
2026-09-10,github_bounty_synthetic_share,n_synthetic_issues,86
2026-09-10,github_bounty_synthetic_share,synthetic_share,0.86
2026-09-10,github_bounty_synthetic_share,n_synthetic_repos,4
2026-09-10,github_bounty_synthetic_share,top1_share,0.56
2026-09-10,github_bounty_synthetic_share,top1.repo,zhangjiayang6835-cyber/bounty-plaza
2026-09-10,github_bounty_synthetic_share,top1.n_issues,56
2026-09-10,github_bounty_synthetic_share,top2.repo,NSPG13/agent-bounties
2026-09-10,github_bounty_synthetic_share,top2.n_issues,25
2026-09-10,github_bounty_synthetic_share,top3.repo,Senthemodder/aquarium-of-gullibles
2026-09-10,github_bounty_synthetic_share,top3.n_issues,5
2026-09-10,github_bounty_synthetic_share,top4.repo,relayhop/sn-monetization-runtime
2026-09-10,github_bounty_synthetic_share,top4.n_issues,5
2026-09-10,github_bounty_synthetic_share,top5.repo,aadarwal/swarmstatus-bounties
2026-09-10,github_bounty_synthetic_share,top5.n_issues,4
2026-09-10,hn_supply_demand,status,ok
2026-09-10,hn_supply_demand,thread_id,49522905
2026-09-10,hn_supply_demand,month,September 2026
2026-09-10,hn_supply_demand,n_top_level,19
2026-09-10,hn_supply_demand,seeking_work,18
2026-09-10,hn_supply_demand,seeking_freelancer,0
2026-09-10,hn_supply_demand,other,1
2026-09-10,hn_supply_demand,seeking_work_share,1.0
